name	rva	size	record
`DX12SwapChain::DX12SwapChain'::`1'::dtor$0	0xb9970	12	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$1	0xb9980	16	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$2	0xb9990	16	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$3	0xb99a0	16	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$4	0xb99b0	16	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$5	0xb99c0	16	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$6	0xb99d0	16	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$7	0xb99e0	16	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$8	0xb99f0	16	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$9	0xb9a00	16	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$10	0xb9a10	49	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$11	0xb9a50	19	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$12	0xb9a70	19	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$13	0xb9a90	19	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$14	0xb9ab0	19	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$15	0xb9ad0	19	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$16	0xb9af0	19	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$17	0xb9b10	19	0x110f
`DX12SwapChain::DX12SwapChain'::`1'::dtor$18	0xb9b30	19	0x110f
`Streamline::Streamline'::`1'::dtor$0	0xb9b50	16	0x110f
`DX12SwapChain::GetSingleton'::`1'::dtor$0	0xb9b70	12	0x110f
`OSD::EnsureResources'::`1'::dtor$11	0xb9b70	12	0x110f
`ReShadeDepth::Capture'::`1'::dtor$10	0xb9b70	12	0x110f
`Streamline::GetSingleton'::`1'::dtor$0	0xb9b80	12	0x110f
`DX12SwapChain::BeginNativeUI'::`1'::dtor$3	0xb9ba0	12	0x110f
`DX12SwapChain::BeginNativeUI'::`1'::dtor$4	0xb9ba0	12	0x110f
`OSD::EnsureResources'::`1'::dtor$2	0xb9ba0	12	0x110f
`Upscaling::CaptureNRAfterSRGuides'::`1'::dtor$0	0xb9ba0	12	0x110f
`Upscaling::CaptureNRMotion'::`1'::dtor$0	0xb9ba0	12	0x110f
`Upscaling::Upscale'::`1'::dtor$2	0xb9ba0	12	0x110f
`DX12SwapChain::ResizeENBScene'::`1'::dtor$9	0xb9bb0	12	0x110f
`DX12SwapChain::CreateSwapChain'::`1'::dtor$7	0xb9bc0	12	0x110f
`DX12SwapChain::BeginNativeUI'::`1'::dtor$5	0xb9be0	12	0x110f
`DX12SwapChain::BeginNativeUI'::`1'::dtor$0	0xb9c20	12	0x110f
